datetime,month,hour,river_flow,rainfall,temperature,reservoir_level,power_output
2023-01-03 17:00:00,1,17,152.12,38.66,22.06,36.79,55.38
2023-01-03 18:00:00,1,18,123.56,35.81,16.45,39.18,34.08
2023-01-03 19:00:00,1,19,145.07,21.64,18.49,40.16,48.47
2023-01-03 20:00:00,1,20,132.23,19.84,18.3,40.98,37.09
2023-01-03 21:00:00,1,21,112.1,37.45,20.09,39.67,32.92
2023-01-03 22:00:00,1,22,132.23,28.83,20.28,43.65,51.64
2023-01-03 23:00:00,1,23,155.76,31.06,18.01,40.47,50.41
2023-01-04 00:00:00,1,0,124.28,29.87,18.65,41.01,46.21
2023-01-04 01:00:00,1,1,156.29,15.56,18.73,38.09,51.42
2023-01-04 02:00:00,1,2,72.61,17.93,13.53,34.74,20.71
2023-01-04 03:00:00,1,3,141.44,25.19,14.89,40.77,42.94
2023-01-04 04:00:00,1,4,126.74,30.46,16.86,46.04,52.08
2023-01-04 05:00:00,1,5,119.02,38.5,16.95,42.22,43.42
2023-01-04 06:00:00,1,6,126.84,10.8,15.67,35.91,30.34
2023-01-04 07:00:00,1,7,85.25,19.08,19.57,44.07,26.51
2023-01-04 08:00:00,1,8,120.61,32.07,18.08,38.32,24.7
2023-01-04 09:00:00,1,9,132.14,17.8,17.64,43.57,41.18
2023-01-04 10:00:00,1,10,154.56,25.7,15.56,38.16,47.61
2023-01-04 11:00:00,1,11,114.63,27.87,17.98,41.77,34.64
2023-01-04 12:00:00,1,12,108.83,20.65,12.82,37.41,29.79
2023-01-04 13:00:00,1,13,114.96,32.41,17.75,37.53,42.93
2023-01-04 14:00:00,1,14,143.31,28.44,18.2,32.17,43.58
2023-01-04 15:00:00,1,15,131.58,23.79,18.56,42.56,43.22
2023-01-04 16:00:00,1,16,114.4,29.99,14.94,41.85,43.89
2023-01-04 17:00:00,1,17,135.27,18.31,18.52,42.13,53.6
2023-01-04 18:00:00,1,18,126.94,6.31,15.99,41.38,46.89
2023-01-04 19:00:00,1,19,144.37,32.54,16.45,36.19,45.06
2023-01-04 20:00:00,1,20,110.96,41.65,19.51,44.83,46.97
2023-01-04 21:00:00,1,21,118.45,45.02,22.1,44.96,48.26
2023-01-04 22:00:00,1,22,117.16,26.5,18.17,36.06,29.16
2023-01-04 23:00:00,1,23,95.73,31.63,16.44,42.66,33.11
2023-01-05 00:00:00,1,0,130.92,22.92,18.45,44.37,45.68
2023-01-05 01:00:00,1,1,130.22,23.67,19.95,37.65,46.64
2023-01-05 02:00:00,1,2,125.1,41.03,19.31,38.52,37.28
2023-01-05 03:00:00,1,3,120.31,43.15,23.56,42.67,39.05
2023-01-05 04:00:00,1,4,96.69,22.04,16.64,32.45,31.3
2023-01-05 05:00:00,1,5,116.59,23.65,18.58,34.56,34.89
2023-01-05 06:00:00,1,6,118.15,29.26,21.17,35.05,45.09
2023-01-05 07:00:00,1,7,108.95,41.57,21.04,31.02,23.87
2023-01-05 08:00:00,1,8,121.77,20.29,14.17,45.42,43.53
2023-01-05 09:00:00,1,9,133.08,12.28,18.07,30.06,38.97
2023-01-05 10:00:00,1,10,162.72,22.22,21.04,41.72,50.21
2023-01-05 11:00:00,1,11,128.49,33.47,23.85,44.06,53.8
2023-01-05 12:00:00,1,12,130.15,24.55,19.48,38.53,35.78
2023-01-05 13:00:00,1,13,123.51,38.66,17.34,36.66,40.81
2023-01-05 14:00:00,1,14,86.62,14.42,16.05,41.16,20.52
2023-01-05 15:00:00,1,15,124.47,24.18,22.51,40.01,41.75
2023-01-05 16:00:00,1,16,126.2,42.68,19.53,45.02,40.53
2023-01-05 17:00:00,1,17,174.26,28.01,16.38,26.86,48.66
2023-01-05 18:00:00,1,18,121.15,20.37,17.67,35.41,30.41
2023-01-05 19:00:00,1,19,131.03,28.33,18.69,42.81,42.63
2023-01-05 20:00:00,1,20,124.31,27.76,19.16,40.25,44.4
2023-01-05 21:00:00,1,21,101.63,37.24,16.27,43.76,34.08
2023-01-05 22:00:00,1,22,147.86,19.33,16.84,41.31,54.43
2023-01-05 23:00:00,1,23,140.04,31.48,14.77,39.33,42.37
2023-01-06 00:00:00,1,0,140.82,46.56,20.15,38.49,41.25
2023-01-06 01:00:00,1,1,106.81,28.71,17.39,51.63,45.84
2023-01-06 02:00:00,1,2,153.06,15.19,19.0,47.67,54.76
2023-01-06 03:00:00,1,3,96.96,28.87,20.92,42.48,36.33
2023-01-06 04:00:00,1,4,136.74,7.62,18.51,40.39,50.44
2023-01-06 05:00:00,1,5,168.81,20.71,17.85,42.69,62.86
2023-01-06 06:00:00,1,6,105.19,21.61,18.46,44.13,41.93
2023-01-06 07:00:00,1,7,113.67,26.28,18.2,42.09,30.28
2023-01-06 08:00:00,1,8,126.99,25.68,20.56,36.24,36.07
2023-01-06 09:00:00,1,9,114.93,27.63,18.69,48.92,45.75
2023-01-06 10:00:00,1,10,93.99,28.02,16.98,41.23,39.59
2023-01-06 11:00:00,1,11,126.37,19.69,20.17,50.07,49.85
2023-01-06 12:00:00,1,12,103.75,34.36,20.53,40.94,23.91
2023-01-06 13:00:00,1,13,134.47,35.76,15.4,38.77,38.45
2023-01-06 14:00:00,1,14,106.61,36.23,21.14,46.92,38.41
2023-01-06 15:00:00,1,15,156.0,4.54,18.8,41.51,43.21
2023-01-06 16:00:00,1,16,109.33,19.7,18.64,40.67,41.92
2023-01-06 17:00:00,1,17,118.56,21.96,20.09,34.0,25.76
2023-01-06 18:00:00,1,18,141.27,35.58,16.94,43.3,53.24
2023-01-06 19:00:00,1,19,100.38,18.77,19.98,37.53,25.96
2023-01-06 20:00:00,1,20,129.55,26.17,17.32,37.76,48.33
2023-01-06 21:00:00,1,21,151.14,22.86,15.12,37.55,45.94
2023-01-06 22:00:00,1,22,92.85,34.77,16.08,42.2,30.27
2023-01-06 23:00:00,1,23,128.69,23.4,19.21,32.32,37.33
2023-01-07 00:00:00,1,0,130.2,29.24,16.18,38.95,37.25
2023-01-07 01:00:00,1,1,140.64,32.66,21.29,44.9,55.53
2023-01-07 02:00:00,1,2,100.26,17.66,20.45,33.77,25.83
2023-01-07 03:00:00,1,3,98.59,40.38,20.74,40.86,30.62
2023-01-07 04:00:00,1,4,135.44,19.35,18.32,36.84,41.17
2023-01-07 05:00:00,1,5,130.94,18.16,18.59,37.98,36.02
2023-01-07 06:00:00,1,6,130.01,33.8,15.68,48.28,51.38
2023-01-07 07:00:00,1,7,131.93,33.2,20.06,31.75,36.62
2023-01-07 08:00:00,1,8,111.4,27.23,18.83,43.83,29.17
2023-01-07 09:00:00,1,9,129.65,22.18,19.21,37.61,46.12
2023-01-07 10:00:00,1,10,130.86,26.53,21.45,37.36,44.85
2023-01-07 11:00:00,1,11,110.71,20.66,16.86,34.44,22.52
2023-01-07 12:00:00,1,12,162.32,7.37,17.82,43.77,49.19
2023-01-07 13:00:00,1,13,134.48,30.08,18.73,39.04,47.99
2023-01-07 14:00:00,1,14,101.17,42.15,16.2,38.41,36.23
2023-01-07 15:00:00,1,15,138.13,16.74,17.7,40.55,49.82
2023-01-07 16:00:00,1,16,105.51,8.17,19.06,39.15,27.31
2023-01-07 17:00:00,1,17,140.74,21.07,17.42,30.0,44.35
2023-01-07 18:00:00,1,18,148.17,35.88,20.69,37.55,42.61
2023-01-07 19:00:00,1,19,108.59,26.24,15.05,44.48,41.47
2023-01-07 20:00:00,1,20,144.27,36.19,20.32,32.47,40.32
2023-01-07 21:00:00,1,21,133.26,18.57,19.39,34.55,46.36
2023-01-07 22:00:00,1,22,141.44,38.51,16.93,37.87,45.29
2023-01-07 23:00:00,1,23,162.94,28.0,16.22,36.37,51.5
2023-01-08 00:00:00,1,0,120.09,35.04,13.91,39.86,39.53
2023-01-08 01:00:00,1,1,109.93,23.73,16.48,34.53,25.67
2023-01-08 02:00:00,1,2,107.21,28.66,20.17,38.06,22.43
2023-01-08 03:00:00,1,3,108.68,23.23,17.96,39.76,36.2
2023-01-08 04:00:00,1,4,123.46,24.78,20.4,43.24,37.46
2023-01-08 05:00:00,1,5,131.82,34.87,16.83,46.22,52.56
2023-01-08 06:00:00,1,6,130.53,18.73,19.49,38.69,42.86
2023-01-08 07:00:00,1,7,141.54,25.49,16.64,49.44,58.97
2023-01-08 08:00:00,1,8,125.26,34.89,16.14,39.08,35.55
2023-01-08 09:00:00,1,9,154.07,2.59,17.86,44.14,61.9
2023-01-08 10:00:00,1,10,119.71,20.24,16.74,49.66,51.94
2023-01-08 11:00:00,1,11,179.4,26.53,14.99,40.7,54.97
2023-01-08 12:00:00,1,12,137.51,10.85,17.71,33.13,48.33
2023-01-08 13:00:00,1,13,107.86,6.58,18.28,40.45,35.33
2023-01-08 14:00:00,1,14,103.58,26.45,20.61,36.94,25.24
2023-01-08 15:00:00,1,15,134.65,21.53,19.95,38.63,39.58
2023-01-08 16:00:00,1,16,120.53,34.88,20.51,49.92,42.63
2023-01-08 17:00:00,1,17,139.28,26.47,19.51,33.89,46.15
2023-01-08 18:00:00,1,18,134.46,26.99,18.74,41.5,51.94
2023-01-08 19:00:00,1,19,123.54,23.15,15.61,35.61,40.38
2023-01-08 20:00:00,1,20,108.06,21.67,18.37,38.46,37.41
2023-01-08 21:00:00,1,21,94.7,19.4,19.27,43.72,40.77
2023-01-08 22:00:00,1,22,116.07,22.62,20.99,41.59,39.04
2023-01-08 23:00:00,1,23,142.13,37.11,19.44,38.87,48.19
2023-01-09 00:00:00,1,0,129.28,34.38,20.55,36.75,35.56
2023-01-09 01:00:00,1,1,100.09,30.46,16.01,41.58,33.93
2023-01-09 02:00:00,1,2,128.46,27.82,17.42,48.54,54.24
2023-01-09 03:00:00,1,3,132.71,14.49,18.93,35.49,23.87
2023-01-09 04:00:00,1,4,107.32,36.63,20.39,49.56,41.25
2023-01-09 05:00:00,1,5,128.07,28.57,17.78,46.0,49.95
2023-01-09 06:00:00,1,6,126.16,15.47,17.91,46.85,48.9
2023-01-09 07:00:00,1,7,102.14,28.0,19.45,41.54,33.12
2023-01-09 08:00:00,1,8,132.16,20.4,15.82,45.86,53.48
2023-01-09 09:00:00,1,9,136.22,26.4,21.29,34.96,36.17
2023-01-09 10:00:00,1,10,146.66,22.43,16.31,36.66,38.72
2023-01-09 11:00:00,1,11,146.08,27.28,14.23,43.83,59.31
2023-01-09 12:00:00,1,12,97.45,18.33,18.09,41.48,38.92
2023-01-09 13:00:00,1,13,106.24,40.45,21.47,39.26,31.78
2023-01-09 14:00:00,1,14,135.3,28.63,19.24,27.49,30.67
2023-01-09 15:00:00,1,15,135.28,22.03,19.57,37.82,46.89
2023-01-09 16:00:00,1,16,135.3,19.66,18.15,34.13,38.73
2023-01-09 17:00:00,1,17,202.05,10.07,17.77,42.47,74.2
2023-01-09 18:00:00,1,18,136.42,28.91,14.98,39.04,46.79
2023-01-09 19:00:00,1,19,147.71,10.21,13.55,36.86,43.8
2023-01-09 20:00:00,1,20,144.08,31.59,18.46,53.21,66.51
2023-01-09 21:00:00,1,21,138.03,11.71,20.7,45.19,47.19
2023-01-09 22:00:00,1,22,118.69,16.83,18.76,45.28,46.79
2023-01-09 23:00:00,1,23,140.18,34.13,19.32,51.01,59.26
2023-01-10 00:00:00,1,0,109.54,21.93,21.24,44.01,38.4
2023-01-10 01:00:00,1,1,120.26,25.51,18.73,36.15,30.01
2023-01-10 02:00:00,1,2,115.29,18.74,17.83,35.56,34.85
2023-01-10 03:00:00,1,3,126.64,27.23,16.43,44.82,47.53
2023-01-10 04:00:00,1,4,171.29,28.07,22.12,29.7,38.23
2023-01-10 05:00:00,1,5,87.65,11.31,19.12,39.61,20.97
2023-01-10 06:00:00,1,6,138.73,25.99,16.18,29.14,25.49
2023-01-10 07:00:00,1,7,92.75,16.74,15.73,40.49,30.05
2023-01-10 08:00:00,1,8,115.56,27.25,20.58,44.27,44.19
2023-01-10 09:00:00,1,9,146.78,8.33,16.0,41.4,59.92
2023-01-10 10:00:00,1,10,126.29,31.78,21.78,44.69,46.83
2023-01-10 11:00:00,1,11,103.45,31.14,12.56,49.82,34.85
2023-01-10 12:00:00,1,12,110.69,9.75,20.92,39.28,35.22
2023-01-10 13:00:00,1,13,138.59,29.45,19.05,54.04,68.71
2023-01-10 14:00:00,1,14,110.39,8.99,18.31,41.06,34.39
2023-01-10 15:00:00,1,15,129.33,16.08,17.72,44.75,53.85
2023-01-10 16:00:00,1,16,125.91,26.55,21.85,36.94,39.67
2023-01-10 17:00:00,1,17,111.97,43.13,19.49,48.1,48.14
2023-01-10 18:00:00,1,18,167.88,25.19,16.27,45.21,72.58
2023-01-10 19:00:00,1,19,137.68,23.98,14.63,47.36,45.18
2023-01-10 20:00:00,1,20,84.5,13.33,18.43,40.27,32.86
2023-01-10 21:00:00,1,21,128.73,9.12,18.07,33.72,35.72
2023-01-10 22:00:00,1,22,111.76,31.85,15.03,42.3,34.68
2023-01-10 23:00:00,1,23,142.05,16.99,17.96,31.51,36.83
2023-01-11 00:00:00,1,0,109.15,17.35,16.92,38.32,43.33
2023-01-11 01:00:00,1,1,122.71,14.27,18.09,40.96,48.58
2023-01-11 02:00:00,1,2,135.1,20.01,19.52,51.89,48.45
2023-01-11 03:00:00,1,3,142.32,44.42,21.06,41.59,45.51
2023-01-11 04:00:00,1,4,100.99,26.55,19.89,40.7,38.99
2023-01-11 05:00:00,1,5,118.31,36.56,16.63,39.68,39.04
2023-01-11 06:00:00,1,6,115.5,27.03,18.81,33.29,31.97
2023-01-11 07:00:00,1,7,111.93,15.2,18.2,40.43,29.89
2023-01-11 08:00:00,1,8,160.31,21.95,15.41,40.51,50.43
2023-01-11 09:00:00,1,9,133.1,13.52,18.87,35.16,32.23
2023-01-11 10:00:00,1,10,99.78,21.58,21.79,34.07,20.08
2023-01-11 11:00:00,1,11,143.36,37.98,18.14,37.59,38.65
2023-01-11 12:00:00,1,12,167.44,50.21,14.88,40.32,51.66
2023-01-11 13:00:00,1,13,145.65,23.51,18.13,37.71,42.0
2023-01-11 14:00:00,1,14,94.61,27.14,15.64,34.75,23.2
2023-01-11 15:00:00,1,15,115.32,34.77,19.8,41.45,44.96
2023-01-11 16:00:00,1,16,150.34,42.01,19.12,42.69,48.99
2023-01-11 17:00:00,1,17,110.85,32.35,17.73,40.61,44.66
2023-01-11 18:00:00,1,18,133.88,26.94,17.41,37.19,39.09
2023-01-11 19:00:00,1,19,140.49,18.34,17.65,42.97,52.54
2023-01-11 20:00:00,1,20,106.46,23.11,18.09,39.05,37.02
2023-01-11 21:00:00,1,21,123.81,8.92,16.53,34.05,30.67
2023-01-11 22:00:00,1,22,60.17,35.36,15.3,45.18,21.03
2023-01-11 23:00:00,1,23,104.51,16.19,20.35,41.77,33.88
2023-01-12 00:00:00,1,0,119.95,24.53,17.3,39.4,41.27
2023-01-12 01:00:00,1,1,100.04,18.05,18.41,32.14,26.17
2023-01-12 02:00:00,1,2,157.65,29.37,18.64,36.28,43.94
2023-01-12 03:00:00,1,3,96.4,14.28,18.72,50.09,40.86
2023-01-12 04:00:00,1,4,116.2,22.05,15.72,32.46,33.15
2023-01-12 05:00:00,1,5,127.61,31.79,14.72,38.74,50.48
2023-01-12 06:00:00,1,6,153.83,25.12,16.89,39.92,51.54
2023-01-12 07:00:00,1,7,96.28,27.4,18.86,41.6,33.45
2023-01-12 08:00:00,1,8,148.26,20.11,16.62,32.51,42.34
2023-01-12 09:00:00,1,9,125.2,36.8,17.36,40.87,37.92
2023-01-12 10:00:00,1,10,105.37,25.29,22.33,31.57,19.11
2023-01-12 11:00:00,1,11,134.24,21.05,14.38,40.49,43.76
2023-01-12 12:00:00,1,12,128.98,24.67,16.56,36.74,44.87
2023-01-12 13:00:00,1,13,113.0,11.53,21.87,35.67,39.78
2023-01-12 14:00:00,1,14,126.4,17.26,17.98,44.17,37.16
2023-01-12 15:00:00,1,15,117.29,25.07,16.66,38.82,41.3
2023-01-12 16:00:00,1,16,127.27,22.83,20.41,42.37,34.04
2023-01-12 17:00:00,1,17,138.24,22.04,18.18,42.53,51.33
2023-01-12 18:00:00,1,18,156.72,20.97,17.38,46.35,62.57
2023-01-12 19:00:00,1,19,100.24,43.26,18.46,33.96,19.77
2023-01-12 20:00:00,1,20,167.66,28.02,16.76,44.6,67.35
2023-01-12 21:00:00,1,21,85.96,39.84,16.04,40.08,37.45
2023-01-12 22:00:00,1,22,121.96,12.22,17.84,38.11,38.44
2023-01-12 23:00:00,1,23,136.77,25.61,16.05,34.25,39.77
2023-01-13 00:00:00,1,0,130.62,26.93,18.09,43.03,54.27
2023-01-13 01:00:00,1,1,112.55,16.03,18.78,35.39,27.58
2023-01-13 02:00:00,1,2,120.84,20.78,19.78,42.59,37.41
2023-01-13 03:00:00,1,3,115.14,36.29,20.33,49.64,43.46
2023-01-13 04:00:00,1,4,113.21,25.71,17.26,44.9,42.57
2023-01-13 05:00:00,1,5,141.99,28.35,19.07,46.96,55.77
2023-01-13 06:00:00,1,6,132.14,42.45,19.06,36.4,37.35
2023-01-13 07:00:00,1,7,111.14,31.9,18.73,43.81,39.1
2023-01-13 08:00:00,1,8,142.99,26.84,17.11,34.28,38.17
2023-01-13 09:00:00,1,9,131.15,26.15,16.02,38.83,40.01
2023-01-13 10:00:00,1,10,141.26,39.82,19.08,48.71,53.53
2023-01-13 11:00:00,1,11,137.59,13.48,14.66,36.96,38.6
2023-01-13 12:00:00,1,12,108.42,26.02,17.54,45.56,31.18
2023-01-13 13:00:00,1,13,113.8,24.62,12.96,45.08,41.66
2023-01-13 14:00:00,1,14,139.95,20.99,15.4,45.37,43.17
2023-01-13 15:00:00,1,15,137.21,32.88,16.32,33.66,42.27
2023-01-13 16:00:00,1,16,124.58,20.44,20.27,42.63,41.48
2023-01-13 17:00:00,1,17,127.35,28.67,19.45,39.22,41.05
2023-01-13 18:00:00,1,18,150.55,33.97,16.96,45.44,55.18
2023-01-13 19:00:00,1,19,113.17,19.27,19.53,31.72,28.72
2023-01-13 20:00:00,1,20,135.94,10.08,19.85,41.84,53.74
2023-01-13 21:00:00,1,21,120.96,17.75,17.75,41.13,34.73
2023-01-13 22:00:00,1,22,120.65,15.77,15.3,30.05,22.11
2023-01-13 23:00:00,1,23,146.98,30.21,17.66,35.57,44.19
2023-01-14 00:00:00,1,0,141.51,40.98,17.88,30.85,33.92
2023-01-14 01:00:00,1,1,141.27,10.1,15.61,36.37,44.64
2023-01-14 02:00:00,1,2,151.11,4.45,18.81,42.75,57.44
2023-01-14 03:00:00,1,3,125.42,9.57,18.63,40.98,37.32
2023-01-14 04:00:00,1,4,138.64,28.36,18.96,40.85,50.24
2023-01-14 05:00:00,1,5,118.79,36.55,18.63,34.8,29.36
2023-01-14 06:00:00,1,6,131.48,35.66,19.53,45.6,50.37
2023-01-14 07:00:00,1,7,122.4,41.84,17.71,39.91,34.54
2023-01-14 08:00:00,1,8,126.94,26.07,18.48,40.17,43.18
2023-01-14 09:00:00,1,9,136.9,8.94,17.28,44.7,50.93
2023-01-14 10:00:00,1,10,108.64,26.42,16.9,35.04,26.23
2023-01-14 11:00:00,1,11,166.85,21.98,20.75,41.14,50.45
2023-01-14 12:00:00,1,12,104.88,11.24,13.98,42.12,40.59
2023-01-14 13:00:00,1,13,100.72,29.04,19.83,37.27,29.04
2023-01-14 14:00:00,1,14,148.16,4.64,16.83,43.26,58.51
2023-01-14 15:00:00,1,15,140.83,5.08,16.57,42.39,47.06
2023-01-14 16:00:00,1,16,137.48,26.31,18.59,39.49,51.79
2023-01-14 17:00:00,1,17,137.57,30.78,15.09,39.34,40.38
2023-01-14 18:00:00,1,18,124.76,18.03,16.44,42.62,51.7
2023-01-14 19:00:00,1,19,107.05,28.48,16.37,43.94,40.1
2023-01-14 20:00:00,1,20,126.52,36.57,17.63,40.31,44.53
2023-01-14 21:00:00,1,21,111.46,12.19,16.46,45.6,37.36
2023-01-14 22:00:00,1,22,144.5,12.84,21.27,43.29,55.81
2023-01-14 23:00:00,1,23,122.06,23.44,21.67,31.06,35.43
2023-01-15 00:00:00,1,0,108.49,37.63,14.03,32.98,28.21
2023-01-15 01:00:00,1,1,118.57,37.3,19.16,45.91,34.72
2023-01-15 02:00:00,1,2,133.26,23.93,19.79,38.77,37.51
2023-01-15 03:00:00,1,3,113.73,30.0,19.16,40.82,33.14
2023-01-15 04:00:00,1,4,108.56,28.41,16.76,45.7,43.61
2023-01-15 05:00:00,1,5,129.87,14.78,17.58,39.97,40.96
2023-01-15 06:00:00,1,6,129.9,17.67,16.58,40.19,41.3
2023-01-15 07:00:00,1,7,114.86,11.22,17.23,35.66,31.32
2023-01-15 08:00:00,1,8,115.58,34.91,15.65,41.85,47.68
2023-01-15 09:00:00,1,9,129.64,28.43,17.84,42.93,46.64
2023-01-15 10:00:00,1,10,96.04,17.41,15.07,37.11,30.71
2023-01-15 11:00:00,1,11,96.85,20.52,17.67,35.39,25.48
2023-01-15 12:00:00,1,12,110.63,9.68,15.57,53.13,48.87
2023-01-15 13:00:00,1,13,120.73,20.79,18.49,39.54,34.92
2023-01-15 14:00:00,1,14,131.22,6.52,16.71,36.58,41.74
2023-01-15 15:00:00,1,15,154.51,19.6,18.65,43.53,50.35
2023-01-15 16:00:00,1,16,142.15,14.38,20.23,39.75,50.83
2023-01-15 17:00:00,1,17,121.8,28.24,21.25,34.57,31.44
2023-01-15 18:00:00,1,18,124.62,24.86,13.02,42.42,48.82
2023-01-15 19:00:00,1,19,104.95,15.89,16.4,35.73,40.81
2023-01-15 20:00:00,1,20,124.63,8.87,17.47,47.88,49.77
2023-01-15 21:00:00,1,21,119.23,17.71,18.99,42.47,48.78
2023-01-15 22:00:00,1,22,131.45,25.83,14.77,38.62,46.09
2023-01-15 23:00:00,1,23,108.46,11.23,16.11,40.55,29.5
2023-01-16 00:00:00,1,0,135.39,46.92,18.33,44.52,50.81
2023-01-16 01:00:00,1,1,155.65,39.22,18.24,40.93,55.63
2023-01-16 02:00:00,1,2,122.82,18.18,18.83,50.61,54.82
2023-01-16 03:00:00,1,3,133.03,24.86,18.96,45.68,51.56
2023-01-16 04:00:00,1,4,138.8,18.94,18.75,42.44,49.94
2023-01-16 05:00:00,1,5,116.98,24.36,18.46,35.32,34.47
2023-01-16 06:00:00,1,6,129.48,19.29,18.18,39.27,43.06
2023-01-16 07:00:00,1,7,125.25,33.14,19.4,42.39,38.16
2023-01-16 08:00:00,1,8,126.95,19.3,13.59,35.89,36.81
2023-01-16 09:00:00,1,9,109.54,15.06,21.16,46.47,35.18
2023-01-16 10:00:00,1,10,125.49,12.79,13.66,35.13,34.27
2023-01-16 11:00:00,1,11,134.96,4.86,15.91,36.81,38.47
2023-01-16 12:00:00,1,12,154.02,22.56,17.62,37.19,44.49
2023-01-16 13:00:00,1,13,144.19,22.26,19.42,43.72,47.3
2023-01-16 14:00:00,1,14,168.06,40.23,12.08,35.98,51.76
2023-01-16 15:00:00,1,15,109.65,30.31,18.02,31.0,26.75
